vertex_index,distance,angle,elev,x,y,relief,velocity
0,0.00000000000000,296.59059434000983,270.055,-1023718.106,-1551764.425,53.609,2.904
1,4.23255148861145,296.59059433824791,270.117,-1023721.890,-1551762.530,54.172,2.904
2,8.46510297722279,296.59059433824791,269.641,-1023725.675,-1551760.636,55.086,2.904
3,12.69765446583425,294.33337033620199,269.883,-1023729.460,-1551758.741,55.664,1.971
4,17.05614346363301,292.07614633097597,270.836,-1023733.499,-1551757.103,56.156,1.971
5,21.41463246134427,287.34803710128540,272.266,-1023737.538,-1551755.465,56.641,1.971
6,26.07136621618191,282.61992787316944,273.133,-1023742.082,-1551754.448,56.641,1.971
7,30.72809997090595,282.61992787192816,274.883,-1023746.626,-1551753.430,57.164,1.971
8,35.38483372557912,282.61992787177172,275.961,-1023751.171,-1551752.413,57.164,1.971
9,40.04156748041675,296.38243739668070,277.469,-1023755.715,-1551751.395,58.008,1.971
10,44.93795162025514,310.14494692095059,279.102,-1023759.458,-1551748.239,61.258,1.971
11,49.83433576033262,315.79263220064803,279.961,-1023763.201,-1551745.082,63.586,1.971
12,54.27554479736416,321.44031748033041,280.563,-1023765.969,-1551741.609,65.281,1.971
13,58.71675383432314,4.89352378709442,280.484,-1023768.737,-1551738.136,69.180,1.971
14,62.19342518025436,48.34673009327134,280.070,-1023766.140,-1551735.825,67.227,1.971
15,65.67009652618557,50.60973380554170,280.305,-1023763.542,-1551733.515,62.086,1.971
16,69.60317687839049,52.87273751781206,280.672,-1023760.406,-1551731.141,61.805,1.971
17,73.53625723059538,23.74179177677782,281.383,-1023757.270,-1551728.767,61.836,1.971
18,76.13000822871852,354.61084603574358,281.938,-1023757.514,-1551726.185,61.484,1.971
19,78.72375922684166,324.78243784767756,283.180,-1023757.758,-1551723.602,60.563,1.971
20,81.52697947049704,294.95402965745427,282.289,-1023760.299,-1551722.420,60.563,1.971
21,84.33019971405417,302.77673116534334,282.242,-1023762.841,-1551721.237,60.641,1.971
22,87.45603262169638,310.59943267538978,282.461,-1023765.214,-1551719.203,60.227,1.971
23,90.58186552933856,316.65833862121326,282.813,-1023767.587,-1551717.169,60.445,1.971
24,94.72388308604963,308.63488327471737,285.227,-1023770.096,-1551713.873,62.141,1.971
25,97.75246466323428,294.55252198194034,285.422,-1023772.851,-1551712.615,63.875,1.971
26,100.78104624052484,276.93548812648544,286.305,-1023775.606,-1551711.356,64.992,0.550
27,103.37602853019692,259.31845427148818,286.750,-1023778.156,-1551711.837,67.008,0.550
28,105.97101081986899,261.58263656074126,286.508,-1023780.706,-1551712.318,68.023,0.550
29,109.05799897768055,263.84681885214263,286.961,-1023783.775,-1551712.649,68.336,1.971
