vertex_index,distance,angle,elev_8,x,y,elev_Ap,relief,velocity
0,0.00000000000000,191.59583785332657,5243.763,486650.694,3107165.314,5285.000,30.564,3.020
1,4.32176832606833,191.59583785432500,5243.763,486649.825,3107161.081,5285.000,30.564,3.020
2,8.64353665169220,191.59583785432500,5245.494,486648.956,3107156.847,5287.000,29.748,3.020
3,12.96530497776053,210.74608440323365,5245.494,486648.088,3107152.613,5287.000,29.748,3.020
4,17.41912548498919,229.89633095543175,5247.526,486644.681,3107149.744,5287.000,26.825,3.020
5,21.87294599191788,229.89633095543175,5247.526,486641.274,3107146.875,5282.000,26.825,3.020
6,26.32676649914653,246.76321813116789,5245.908,486637.868,3107144.006,5284.000,26.825,3.020
7,30.54535698932177,263.63010530600849,5245.908,486633.675,3107143.538,5284.000,26.825,3.020
8,34.76394747949081,291.28777913746416,5245.603,486629.483,3107143.070,5284.000,32.099,3.020
9,38.98910775771297,318.94545297418011,5244.213,486626.708,3107146.256,5276.000,30.472,3.020
10,43.21426803628627,290.82210372418217,5244.213,486623.933,3107149.442,5276.000,30.472,3.020
11,48.18513054295088,235.84131885768969,5243.570,486619.002,3107148.811,5276.000,35.316,3.020
12,51.80400450458688,208.98388324326885,5243.570,486617.249,3107145.645,5276.000,35.316,3.020
13,55.42287846622288,208.98388324326885,5243.886,486615.495,3107142.480,5272.000,40.095,3.020
14,59.04175242785888,187.05838039743773,5243.886,486613.741,3107139.314,5272.000,40.095,3.020
15,62.90147834707092,165.13287755071977,5243.886,486614.732,3107135.583,5272.000,40.095,3.020
16,66.76120426583290,165.13287755071977,5244.784,486615.722,3107131.853,5274.000,38.502,3.020
17,70.62093018504494,158.49005054979273,5244.784,486616.712,3107128.122,5274.000,38.502,3.020
18,75.33466071741340,151.84722354962602,5246.335,486618.936,3107123.966,5279.000,39.952,2.586
19,80.04839125016495,151.84722354962602,5246.335,486621.161,3107119.810,5279.000,39.952,2.586
20,84.76212178253343,168.29760034203801,5248.050,486623.385,3107115.654,5280.000,40.896,2.586
21,89.56699669272122,184.74797713667283,5249.484,486622.987,3107110.866,5280.000,42.251,2.586
22,94.37187160244979,184.74797713667283,5249.484,486622.589,3107106.077,5282.000,42.251,2.586
23,99.17674651263758,193.52240178489961,5250.503,486622.191,3107101.289,5282.000,44.145,2.586
24,103.62048396294453,202.29682643484097,5250.503,486620.505,3107097.177,5282.000,44.145,2.586
25,108.06422141282069,202.29682643484097,5251.288,486618.819,3107093.066,5284.000,46.648,2.586
26,112.50795886312764,179.45423788396121,5251.288,486617.134,3107088.955,5284.000,46.648,2.586
27,117.48633353514693,156.61164933559155,5251.185,486619.110,3107084.385,5284.000,48.730,2.586
28,122.46470820757048,156.61164933559155,5251.185,486621.086,3107079.816,5286.000,48.730,2.586
29,127.44308287958977,156.61164933559155,5250.803,486623.062,3107075.247,5286.000,49.997,2.586
30,132.42145755201332,156.61164933559155,5252.293,486625.038,3107070.677,5286.000,51.856,2.586
31,137.39983222403259,148.99771943758847,5252.293,486627.015,3107066.108,5289.000,51.856,2.586
32,141.93783732991437,141.38378953912195,5251.884,486629.847,3107062.562,5286.000,53.537,2.586
33,146.47584243543230,141.38378953940907,5252.222,486632.679,3107059.016,5286.000,53.537,2.586
34,151.01384754127776,141.38378953940907,5251.484,486635.511,3107055.471,5289.000,53.573,2.586
35,155.55185264679568,141.38378953912195,5251.484,486638.343,3107051.925,5289.000,53.573,2.586
36,160.08985775267746,121.80710131186525,5251.305,486641.175,3107048.379,5289.000,51.708,2.586
37,164.47158793005096,102.23041307971791,5251.427,486645.458,3107047.451,5286.000,50.819,2.586
38,168.85331810738271,102.23041307971791,5251.228,486649.740,3107046.523,5286.000,48.025,2.586
39,173.23504828475620,102.23041307971791,5251.228,486654.022,3107045.594,5286.000,48.025,2.586
40,177.61677846208795,102.23041307971791,5251.379,486658.305,3107044.666,5285.000,45.353,2.586
41,181.99850863946145,94.36982793521815,5251.379,486662.587,3107043.738,5289.000,45.353,2.586
42,186.23617908059663,86.50924278763841,5251.723,486666.817,3107043.996,5289.000,42.936,3.652
43,190.47384952167371,86.50924278447232,5251.723,486671.046,3107044.254,5289.000,42.936,3.652
44,194.71151996277911,86.50924278449628,5252.119,486675.276,3107044.512,5285.000,41.407,3.652
45,198.94919040391432,89.57184865496077,5252.119,486679.506,3107044.770,5287.000,41.407,3.652
46,202.93370773963352,92.63445451891468,5253.085,486683.486,3107044.587,5287.000,39.656,3.652
47,206.91822507533132,92.63445451893389,5253.085,486687.467,3107044.404,5290.000,39.656,3.652
48,210.90274241099235,92.63445452227838,5255.240,486691.447,3107044.221,5290.000,37.198,3.652
49,214.88725974671155,156.50832138186496,5255.240,486695.427,3107044.037,5293.000,37.198,3.652
50,219.39526727464605,220.38218824366984,5255.240,486692.507,3107040.604,5293.000,37.198,3.652
51,223.90327480226347,220.38218824366984,5255.173,486689.586,3107037.170,5290.000,39.316,3.652
52,228.41128233019796,216.83876144060204,5253.361,486686.665,3107033.736,5290.000,41.532,3.652
53,232.73433371009256,213.29533463941081,5254.049,486684.292,3107030.122,5294.000,43.958,3.652
54,237.05738508995520,213.29533464110480,5254.049,486681.919,3107026.509,5294.000,43.958,3.652
55,241.38043646946059,213.29533464110480,5254.508,486679.546,3107022.895,5294.000,47.563,3.652
56,245.70348784932324,213.29533463941081,5254.508,486677.173,3107019.282,5295.000,47.563,3.652
