vertex_index,distance,angle,elev,x,y,Velocity,relief
0,0.00000000000000,299.76467525933919,4592.086,-1483908.502,784529.732,154.042,22.477
1,4.38477076014989,303.65681002005664,4592.086,-1483912.309,784531.909,154.042,22.477
2,7.02622072061179,307.54894478077409,4592.086,-1483914.403,784533.519,154.042,22.477
3,9.66767068107370,323.22009337792207,4592.404,-1483916.497,784535.128,154.042,23.602
4,12.60593016710467,338.89124197295229,4592.404,-1483917.555,784537.869,154.042,23.602
5,15.54418965321950,352.28291620310921,4592.404,-1483918.614,784540.611,154.042,23.602
6,19.24231597263359,5.67459043358903,4592.517,-1483918.248,784544.291,154.042,22.862
7,22.94044229202467,6.01919559409120,4592.517,-1483917.882,784547.971,154.042,22.862
8,26.06553693575844,6.36380075626990,4592.941,-1483917.536,784551.076,154.042,21.783
9,29.19063157960792,351.29826639957707,4592.941,-1483917.189,784554.182,154.042,21.783
10,33.85955335296609,329.13171385293742,4592.941,-1483919.071,784558.455,154.042,21.783
11,36.77938591686950,322.03069566177413,4593.182,-1483920.868,784560.757,154.042,21.004
12,39.69921848100792,318.88493453513746,4593.182,-1483922.664,784563.059,154.042,21.004
13,44.05638516371129,315.73917341013316,4592.289,-1483925.705,784566.179,154.042,23.212
14,48.41355184649802,315.96960730838941,4591.859,-1483928.746,784569.300,154.042,22.216
15,51.43161339776260,316.20004120451631,4591.859,-1483930.835,784571.478,154.042,22.216
16,54.44967494918834,321.90707624002073,4592.786,-1483932.924,784573.656,154.042,24.145
17,57.03298810833064,327.61411127493989,4592.741,-1483934.307,784575.838,154.042,23.602
18,59.61630126759764,329.18344013708349,4592.741,-1483935.691,784578.019,154.042,23.602
19,62.48461712810220,330.75276900197542,4592.741,-1483937.092,784580.522,154.042,23.602
20,65.35293298870832,329.27924225582751,4592.741,-1483938.494,784583.025,154.042,23.602
21,68.09200662835453,332.94879988861783,4593.159,-1483939.953,784585.343,154.042,22.837
22,71.24199776919380,338.09188426615964,4593.898,-1483941.129,784588.265,154.042,24.454
23,74.39198891011996,337.34976717869449,4593.898,-1483942.304,784591.188,154.042,24.454
24,77.17364135282322,336.60765009539472,4593.742,-1483943.408,784593.741,154.042,23.948
