vertex_index,distance,angle,elev,x,y,relief,velocity
0,0.00000000000000,180.67974231188353,234.570,1026066.712,-536898.993,21.602,6.600
1,4.72594205719105,180.67974231188353,234.992,1026066.656,-536903.719,21.859,6.600
2,9.45188411438211,180.67974231189189,235.695,1026066.600,-536908.444,22.195,6.600
3,14.17782617145675,180.67974231189189,236.148,1026066.544,-536913.170,22.406,6.600
4,18.90376822864780,180.67974231188353,236.570,1026066.488,-536917.895,22.609,6.600
5,23.62971028583886,181.02125815704096,237.234,1026066.432,-536922.621,22.781,6.600
6,28.18820893108807,181.36277400146696,237.727,1026066.323,-536927.178,22.813,6.600
7,32.74670757633452,181.36277400146696,238.219,1026066.215,-536931.736,22.797,6.600
8,37.30520622158373,181.36277400146696,238.898,1026066.106,-536936.293,22.703,6.600
9,41.86370486683018,181.36277400146696,239.453,1026065.998,-536940.850,22.484,6.600
10,46.42220351207940,185.04905338864043,240.023,1026065.890,-536945.407,22.336,6.600
11,51.11815640588086,188.73533277438057,240.922,1026065.176,-536950.049,22.375,6.600
12,55.81410929966462,188.73533277438057,241.453,1026064.463,-536954.690,22.703,6.600
13,60.51006219346608,188.73533277508253,241.945,1026063.750,-536959.332,22.820,6.600
14,65.20601508726752,177.35842125179178,242.320,1026063.037,-536963.973,22.820,6.600
15,69.73136216742554,165.98150972850101,242.852,1026064.133,-536968.364,22.383,6.600
16,74.25670924758354,165.98150972850101,243.297,1026065.229,-536972.754,22.063,6.600
17,78.78205632774156,165.98150972850101,243.930,1026066.326,-536977.145,21.992,6.600
18,83.30740340789959,181.30780653500011,244.594,1026067.422,-536981.535,21.867,6.600
19,87.40835223858562,196.63410334149921,245.242,1026066.248,-536985.465,21.695,6.600
20,91.50930106927164,196.63410334149921,245.727,1026065.074,-536989.394,21.328,6.600
21,95.61024989995768,203.24752192090372,246.148,1026063.900,-536993.323,20.852,5.397
22,99.34484822809706,209.86094050030823,246.609,1026062.040,-536996.562,20.398,5.397
23,103.07944655623643,189.04010347266865,246.828,1026060.181,-536999.801,19.938,5.397
24,108.02663236044978,168.21926644555134,247.531,1026061.191,-537004.644,19.031,5.397
25,112.97381816452538,168.21926644555134,247.906,1026062.201,-537009.487,18.898,5.397
26,117.92100396873872,166.11861028767896,248.375,1026063.211,-537014.330,18.859,5.397
27,122.85426146227704,164.01795413079267,248.727,1026064.570,-537019.072,19.000,5.397
28,127.78751895567137,164.01795413079267,249.133,1026065.928,-537023.815,18.898,5.397
29,132.72077644920969,165.24101357155209,249.719,1026067.286,-537028.558,18.484,5.397
