vertex_index,distance,angle,elev,x,y,relief,velocity
0,0.00000000000000,249.98370735616660,44.141,999112.845,-605825.503,13.172,1.662
1,4.65099964003926,252.10863327275288,44.344,999108.474,-605827.095,13.461,2.410
2,9.33962468955869,236.09605500732499,45.078,999103.962,-605828.369,13.781,2.410
3,12.77579630308333,174.96495130232242,45.508,999101.849,-605831.078,14.109,2.410
4,17.04084916410061,128.86412231058864,45.297,999105.020,-605833.930,14.438,2.410
5,19.54620131559196,125.75689283998528,45.258,999107.053,-605835.394,14.742,2.410
6,22.05155346710976,194.75075011277343,45.266,999109.086,-605836.858,15.016,2.410
7,24.65585826903589,263.74460738755926,45.453,999106.497,-605837.142,15.016,2.410
8,27.26016307107775,235.07199534596489,45.984,999103.908,-605837.426,15.016,2.410
9,31.46498737759725,161.15456537323092,46.422,999102.039,-605841.192,15.430,2.410
10,34.27295774327812,115.90974744116259,46.328,999104.564,-605842.419,15.570,2.410
11,37.08092810890813,143.14111844946783,46.078,999107.090,-605843.646,15.570,2.410
12,40.05672297363074,204.34682032193001,46.539,999107.588,-605846.580,15.828,2.410
13,43.04984472316257,238.32115118538167,47.008,999105.041,-605848.152,15.969,2.410
14,46.04296647253420,203.27049041828857,47.352,999102.493,-605849.724,15.969,2.410
15,50.15211521513200,149.61208115537866,47.844,999103.332,-605853.746,16.305,2.410
16,52.72253546288190,131.00433266090414,47.719,999105.272,-605855.433,16.492,2.410
17,55.29295571070818,136.79935972187883,47.750,999107.212,-605857.119,16.680,2.410
18,60.24493934177862,200.38046256085647,48.313,999110.220,-605861.053,16.984,2.410
19,62.93103398737102,258.16653834105387,48.258,999107.591,-605861.604,16.984,2.410
20,65.61712863293958,267.60134381071776,48.672,999104.962,-605862.154,17.109,2.410
21,69.87312146474549,277.03614927848486,49.320,999100.738,-605861.633,16.984,2.410
22,74.12911429642162,234.45913241501643,50.445,999096.514,-605861.112,16.984,2.410
23,78.49837605366460,159.06299662778557,51.555,999095.615,-605865.387,17.211,2.410
24,82.06478286462971,126.24387770354264,50.633,999098.491,-605867.496,17.297,2.410
25,85.63118967575750,145.28439177247651,50.297,999101.367,-605869.605,17.367,2.410
26,89.65660570421485,217.09395986819021,50.359,999102.455,-605873.480,17.547,2.125
